PtfName,Country,id_centre
8O-QUFDRI+  ,EUR,8O      
ABZIFTY.IB    ,IABZR,IB      
FX-RB       ,EUR,RB      
8O-SGTRIHGY5 ,EUR,8O      
CWO.FB-RB   ,AUD,RB      
ABZFSL.FB-RB  ,SGD,RB      
UOB.FB-RB   ,SGD,RB      
TELE.FB-RB  ,SGD,RB      
CWO.FR-FRB  ,AUD,RB      
ABZFSL.FR-FRB ,SGD,RB      
MU-SC_TIGER ,EUR,5E      
CORREL.TW   ,TWD,TW      
TRFCKER_FUABZD,HKD,AK      
DS-FR       ,EUR,DS      
DS-GB       ,EUR,DS      
TSF-5E      ,EUR,TV      
8O-CIICGYERF4,EUR,8O      
EFY-ISSUE   ,EUR,EF2     
EURO-DY     ,EUR,DY      
DOLLFRS-DY  ,USD,DY      
FX-HW       ,EUR,HW      
GBGY_DY      ,GBP,DY      
CHF-DY      ,CHF,DY      
FX-IB       ,EUR,IB      
FX-YX-Y1    ,EUR,YX      
FX-YX-YY    ,EUR,YX      
FX-YX-Y3    ,EUR,YX      
FX-YX-Y4    ,EUR,YX      
FX-YX-Y5    ,EUR,YX      
FX-YX-Y6    ,EUR,YX      
FX-YX-Y7    ,EUR,YX      
FX-YX-Y8    ,EUR,YX      
8O-CRICFGYREV,EUR,8O      
COM_USD_5B  ,USD,5B      
COM_USD_FK  ,USD,AK      
COM_GBGY_GJ  ,GBP,GJ      
COM_SGD_GJ  ,SGD,GJ      
COM_USD_GJ  ,USD,GJ      
COM_EUR_GW  ,EUR,GW      
COM_USD_GW  ,USD,GW      
COM_USD_HJ  ,USD,HJ      
COM_USD_HS  ,USD,HS      
COM_USD_RB  ,USD,RB      
COM_SGD_SABZ  ,SGD,SABZ      
COM_USD_SABZ  ,USD,SABZ      
COM_SEK_TS  ,SEK,TS      
COM_EUR_TW  ,EUR,TW      
COM_USD_TW  ,USD,TW      
COM_SGD_RB  ,SGD,RB      
COM_USD_HW  ,USD,HW      
COM_USD_IB  ,USD,IB      
8O-SGTRIHGY6 ,EUR,8O      
8O-IABZGDIRECT,EUR,8O      
COM_USD_5E  ,USD,5E      
FX-4B       ,EUR,4B      
FX-SQ       ,EUR,SQ      
DFX-ELEC    ,EUR,4B      
4B-RFTES    ,EUR,4B      
RETRO_6K    ,HKD,RK      
RK-RETRO-6K ,HKD,RK      
